model,percentile,thr,precision,recall,f1,TN,FP,FN,TP,roc_auc,pr_auc
GRU-AE,90.0,0.07996753603219986,0.8361581920903954,1.0,0.9107692307692308,4,58,0,296,0.9728639930252834,0.991161504901239
GRU-AE,92.0,0.09101078659296036,0.8680351906158358,1.0,0.9293563579277865,17,45,0,296,0.9728639930252834,0.991161504901239
GRU-AE,95.0,0.10407448559999466,0.921875,0.9966216216216216,0.9577922077922078,37,25,1,295,0.9728639930252834,0.991161504901239
GRU-AE,97.0,0.10639842599630356,0.9394904458598726,0.9966216216216216,0.9672131147540983,43,19,1,295,0.9728639930252834,0.991161504901239
GRU-AE,99.0,0.11971955001354218,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9728639930252834,0.991161504901239
GRU-AE,99.5,0.12748540937900543,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9728639930252834,0.991161504901239
GRU-AE,99.9,0.8031202554702759,0.9898648648648649,0.9898648648648649,0.9898648648648649,59,3,3,293,0.9728639930252834,0.991161504901239
TCN-AE,90.0,0.10521551221609116,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,92.0,0.11277811974287033,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,95.0,0.12168373912572861,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,97.0,0.13042514026165009,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,99.0,0.14461849629878998,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,99.5,0.15291917324066162,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9686137750653879,0.9896496096420998
TCN-AE,99.9,0.8688459992408752,0.9898648648648649,0.9898648648648649,0.9898648648648649,59,3,3,293,0.9686137750653879,0.9896496096420998
GAT-AE,90.0,1.0454167127609253,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,92.0,1.0956135988235474,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,95.0,1.1293137073516846,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,97.0,1.1508638858795166,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,99.0,1.251948595046997,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,99.5,1.2733949422836304,0.9577922077922078,0.9966216216216216,0.9768211920529801,49,13,1,295,0.9742262423714037,0.9915552131254455
GAT-AE,99.9,1.8016666173934937,0.9899328859060402,0.9966216216216216,0.9932659932659933,59,3,1,295,0.9742262423714037,0.9915552131254455
MoE,90.0,0.0906580314040184,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9703574542284219,0.9903338367702029
MoE,92.0,0.09438452869653702,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9703574542284219,0.9903338367702029
MoE,95.0,0.09906250238418579,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9703574542284219,0.9903338367702029
MoE,97.0,0.10761333256959915,0.8268156424581006,1.0,0.9051987767584098,0,62,0,296,0.9703574542284219,0.9903338367702029
MoE,99.0,0.12374164909124374,0.8314606741573034,1.0,0.9079754601226994,2,60,0,296,0.9703574542284219,0.9903338367702029
MoE,99.5,0.12729352712631226,0.8361581920903954,1.0,0.9107692307692308,4,58,0,296,0.9703574542284219,0.9903338367702029
MoE,99.9,0.8277109861373901,0.9898648648648649,0.9898648648648649,0.9898648648648649,59,3,3,293,0.9703574542284219,0.9903338367702029
